NET_neuronI_neuronJ,Strength
mocktest_small_7_29,0.378250
mocktest_small_7_30,0.310148
mocktest_small_7_31,0.333744
mocktest_small_7_32,0.379453
mocktest_small_7_33,0.344160
mocktest_small_7_34,0.369020
mocktest_small_7_35,0.443225
mocktest_small_7_36,0.333130
mocktest_small_7_37,0.312666
mocktest_small_7_38,0.386189
mocktest_small_7_39,0.306963
mocktest_small_7_40,0.363561
mocktest_small_7_41,0.275017
mocktest_small_7_42,0.347213
mocktest_small_7_43,0.238421
mocktest_small_7_44,0.377128
mocktest_small_7_45,0.310137
mocktest_small_7_46,0.451728
mocktest_small_7_47,0.442574
mocktest_small_7_48,0.355344
mocktest_small_7_49,0.425125
mocktest_small_7_50,0.352116
mocktest_small_7_51,0.257452
mocktest_small_7_52,0.377805
mocktest_small_7_53,0.414942
mocktest_small_7_54,0.436215
mocktest_small_7_55,0.386631
mocktest_small_7_56,0.378765
mocktest_small_7_57,0.371189
mocktest_small_7_58,0.322282
mocktest_small_7_59,0.349352
mocktest_small_7_60,0.395885
mocktest_small_7_61,0.393036
mocktest_small_7_62,0.315162
mocktest_small_7_63,0.322136
mocktest_small_7_64,0.334354
mocktest_small_7_65,0.365323
mocktest_small_7_66,0.339703
mocktest_small_7_67,0.406075
mocktest_small_7_68,0.386632
mocktest_small_7_69,0.364358
mocktest_small_7_70,0.294564
mocktest_small_7_71,0.452707
mocktest_small_7_72,0.394111
mocktest_small_7_73,0.334149
mocktest_small_7_74,0.375543
mocktest_small_7_75,0.415228
mocktest_small_7_76,0.355492
mocktest_small_7_77,0.174251
mocktest_small_7_78,0.320338
mocktest_small_7_79,0.440141
mocktest_small_7_80,0.346911
mocktest_small_7_81,0.351205
mocktest_small_7_82,0.315053
mocktest_small_7_83,0.390523
mocktest_small_7_84,0.372912
mocktest_small_7_85,0.342243
mocktest_small_7_86,0.356953
mocktest_small_7_87,0.302545
mocktest_small_7_88,0.410976
mocktest_small_7_89,0.261718
mocktest_small_7_90,0.401738
mocktest_small_7_91,0.403241
mocktest_small_7_92,0.327714
mocktest_small_7_93,0.331172
mocktest_small_7_94,0.311784
mocktest_small_7_95,0.279020
mocktest_small_7_96,0.321072
mocktest_small_7_97,0.398788
mocktest_small_7_98,0.338762
mocktest_small_7_99,0.371005
mocktest_small_7_100,0.359746
mocktest_small_8_1,0.286047
mocktest_small_8_2,0.343445
mocktest_small_8_3,0.328282
mocktest_small_8_4,0.304994
mocktest_small_8_5,0.252893
mocktest_small_8_6,0.320954
mocktest_small_8_7,0.377118
mocktest_small_8_8,0.000000
mocktest_small_8_9,0.279018
mocktest_small_8_10,0.334195
mocktest_small_8_11,0.328197
mocktest_small_8_12,0.377145
mocktest_small_8_13,0.277766
mocktest_small_8_14,0.310210
mocktest_small_8_15,0.362588
mocktest_small_8_16,0.329035
mocktest_small_8_17,0.273398
mocktest_small_8_18,0.335189
mocktest_small_8_19,0.285053
mocktest_small_8_20,0.413692
mocktest_small_8_21,0.353572
mocktest_small_8_22,0.264076
mocktest_small_8_23,0.365435
mocktest_small_8_24,0.316303
mocktest_small_8_25,0.315183
mocktest_small_8_26,0.315004
mocktest_small_8_27,0.283878
mocktest_small_8_28,0.341996
mocktest_small_8_29,0.321620
mocktest_small_8_30,0.282905
mocktest_small_8_31,0.290402
mocktest_small_8_32,0.312072
mocktest_small_8_33,0.293166
mocktest_small_8_34,0.328232
mocktest_small_8_35,0.404702
mocktest_small_8_36,0.278429
mocktest_small_8_37,0.278506
mocktest_small_8_38,0.359635
mocktest_small_8_39,0.269351
mocktest_small_8_40,0.358211
mocktest_small_8_41,0.247601
mocktest_small_8_42,0.299830
mocktest_small_8_43,0.206150
mocktest_small_8_44,0.334423
mocktest_small_8_45,0.270646
mocktest_small_8_46,0.368053
mocktest_small_8_47,0.374422
mocktest_small_8_48,0.315451
mocktest_small_8_49,0.401908
mocktest_small_8_50,0.297769
mocktest_small_8_51,0.236491
mocktest_small_8_52,0.332756
mocktest_small_8_53,0.434175
mocktest_small_8_54,0.356111
mocktest_small_8_55,0.322463
mocktest_small_8_56,0.310003
mocktest_small_8_57,0.325783
mocktest_small_8_58,0.306691
mocktest_small_8_59,0.293525
mocktest_small_8_60,0.327621
mocktest_small_8_61,0.308308
mocktest_small_8_62,0.283872
mocktest_small_8_63,0.278780
mocktest_small_8_64,0.322938
mocktest_small_8_65,0.321162
mocktest_small_8_66,0.285997
mocktest_small_8_67,0.392019
mocktest_small_8_68,0.310425
mocktest_small_8_69,0.307953
mocktest_small_8_70,0.260689
mocktest_small_8_71,0.382553
mocktest_small_8_72,0.330865
mocktest_small_8_73,0.293250
mocktest_small_8_74,0.299799
mocktest_small_8_75,0.343218
mocktest_small_8_76,0.297380
mocktest_small_8_77,0.164884
mocktest_small_8_78,0.278933
mocktest_small_8_79,0.453556
mocktest_small_8_80,0.298432
mocktest_small_8_81,0.317057
mocktest_small_8_82,0.295242
mocktest_small_8_83,0.328576
mocktest_small_8_84,0.306332
mocktest_small_8_85,0.308782
mocktest_small_8_86,0.323927
mocktest_small_8_87,0.274094
mocktest_small_8_88,0.324507
mocktest_small_8_89,0.240259
mocktest_small_8_90,0.337460
mocktest_small_8_91,0.369767
mocktest_small_8_92,0.297837
mocktest_small_8_93,0.291931
mocktest_small_8_94,0.277407
mocktest_small_8_95,0.245112
mocktest_small_8_96,0.274691
mocktest_small_8_97,0.333078
mocktest_small_8_98,0.303566
mocktest_small_8_99,0.308283
mocktest_small_8_100,0.337900
mocktest_small_9_1,0.264779
mocktest_small_9_2,0.305684
mocktest_small_9_3,0.292244
mocktest_small_9_4,0.327468
mocktest_small_9_5,0.258648
mocktest_small_9_6,0.296219
mocktest_small_9_7,0.323595
mocktest_small_9_8,0.282871
mocktest_small_9_9,0.000000
mocktest_small_9_10,0.309453
mocktest_small_9_11,0.328103
mocktest_small_9_12,0.299756
mocktest_small_9_13,0.252560
mocktest_small_9_14,0.294801
mocktest_small_9_15,0.297097
mocktest_small_9_16,0.301700
mocktest_small_9_17,0.255740
mocktest_small_9_18,0.324025
mocktest_small_9_19,0.321567
mocktest_small_9_20,0.348679
mocktest_small_9_21,0.322031
mocktest_small_9_22,0.233137
mocktest_small_9_23,0.322744
mocktest_small_9_24,0.283519
mocktest_small_9_25,0.250053
mocktest_small_9_26,0.282599
mocktest_small_9_27,0.284208
mocktest_small_9_28,0.276378
mocktest_small_9_29,0.293433
mocktest_small_9_30,0.273527
mocktest_small_9_31,0.353438
mocktest_small_9_32,0.309975
mocktest_small_9_33,0.315170
mocktest_small_9_34,0.320851
mocktest_small_9_35,0.336806
mocktest_small_9_36,0.286959
mocktest_small_9_37,0.284866
mocktest_small_9_38,0.322726
mocktest_small_9_39,0.286713
mocktest_small_9_40,0.302908
mocktest_small_9_41,0.236266
mocktest_small_9_42,0.291383
mocktest_small_9_43,0.213833
mocktest_small_9_44,0.297728
mocktest_small_9_45,0.252307
mocktest_small_9_46,0.346370
mocktest_small_9_47,0.337421
mocktest_small_9_48,0.297633
mocktest_small_9_49,0.303120
mocktest_small_9_50,0.282599
mocktest_small_9_51,0.257846
mocktest_small_9_52,0.300924
mocktest_small_9_53,0.303832
mocktest_small_9_54,0.314376
mocktest_small_9_55,0.268765
mocktest_small_9_56,0.304204
mocktest_small_9_57,0.286462
mocktest_small_9_58,0.270247
mocktest_small_9_59,0.274053
mocktest_small_9_60,0.325603
mocktest_small_9_61,0.273992
mocktest_small_9_62,0.249993
mocktest_small_9_63,0.254541
mocktest_small_9_64,0.254749
mocktest_small_9_65,0.294850
mocktest_small_9_66,0.245551
mocktest_small_9_67,0.334106
mocktest_small_9_68,0.300812
mocktest_small_9_69,0.309100
mocktest_small_9_70,0.273326
mocktest_small_9_71,0.328199
mocktest_small_9_72,0.300943
